time,x_r,y_r,theta_r,x,y,theta,v,omega,x_e,y_e,theta_e
<module 'time' (built-in)>,1.0,0,0,0.76,-0.23,0.22,0.2355179489866121,0.02370622261514784,0.24,0.23,-0.22
<module 'time' (built-in)>,1.0014935541152954,0,0,0.76,-0.23,0.22,0.23686214769037794,0.02370622261514784,0.24149355411529538,0.23,-0.22
<module 'time' (built-in)>,1.0030810499191285,0,0,0.76,-0.23,0.22,0.23829089391382774,0.02370622261514784,0.2430810499191285,0.23,-0.22
<module 'time' (built-in)>,1.0046809673309327,0,0,0.76,-0.23,0.22,0.23973081958445153,0.02370622261514784,0.2446809673309327,0.23,-0.22
<module 'time' (built-in)>,1.0062825059890748,0,0,0.76,-0.23,0.22,0.2411722043767794,0.02370622261514784,0.24628250598907475,0.23,-0.22
<module 'time' (built-in)>,1.0078813743591308,0,0,0.76,-0.23,0.22,0.24261118590982986,0.02370622261514784,0.24788137435913082,0.23,-0.22
<module 'time' (built-in)>,1.0094811534881591,0,0,0.76,-0.23,0.22,0.24405098712595533,0.02370622261514784,0.24948115348815914,0.23,-0.22
<module 'time' (built-in)>,1.0110811471939087,0,0,0.76,-0.23,0.21,0.24553365076900083,0.024292406009234026,0.2510811471939087,0.23,-0.21
<module 'time' (built-in)>,1.0126798057556152,0,0,0.76,-0.23,0.22,0.2469297741666658,0.02370622261514784,0.2526798057556152,0.23,-0.22
<module 'time' (built-in)>,1.014280252456665,0,0,0.76,-0.23,0.22,0.2483701761976106,0.02370622261514784,0.25428025245666497,0.23,-0.22
<module 'time' (built-in)>,1.0158797121047973,0,0,0.76,-0.23,0.21,0.24985235918880055,0.024292406009234026,0.2558797121047973,0.23,-0.21
<module 'time' (built-in)>,1.0174806642532348,0,0,0.76,-0.23,0.21,0.25129321612239425,0.024292406009234026,0.2574806642532348,0.23,-0.21
<module 'time' (built-in)>,1.0190799522399903,0,0,0.76,-0.23,0.22,0.2526899060026033,0.02370622261514784,0.25907995223999025,0.23,-0.22
<module 'time' (built-in)>,1.0206794214248658,0,0,0.76,-0.23,0.21,0.25417209757686215,0.024292406009234026,0.2606794214248658,0.23,-0.21
<module 'time' (built-in)>,1.0222801303863525,0,0,0.76,-0.23,0.21,0.25561273564220016,0.024292406009234026,0.26228013038635245,0.23,-0.21
<module 'time' (built-in)>,1.023880124092102,0,0,0.76,-0.23,0.21,0.25705272997737477,0.024292406009234026,0.26388012409210204,0.23,-0.21
<module 'time' (built-in)>,1.0254789400100708,0,0,0.76,-0.23,0.22,0.2584489949956758,0.02370622261514784,0.2654789400100708,0.23,-0.22
<module 'time' (built-in)>,1.0270788860321045,0,0,0.76,-0.23,0.22,0.2598889464155062,0.02370622261514784,0.2670788860321045,0.23,-0.22
<module 'time' (built-in)>,1.0286798286437988,0,0,0.76,-0.23,0.22,0.261329794766031,0.02370622261514784,0.2686798286437988,0.23,-0.22
<module 'time' (built-in)>,1.0302796459197998,0,0,0.76,-0.23,0.22,0.26276963031443196,0.02370622261514784,0.2702796459197998,0.23,-0.22
<module 'time' (built-in)>,1.031878571510315,0,0,0.76,-0.23,0.22,0.26420866334589554,0.02370622261514784,0.2718785715103149,0.23,-0.22
<module 'time' (built-in)>,1.0334787797927856,0,0,0.76,-0.23,0.22,0.26564885080011913,0.02370622261514784,0.27347877979278556,0.23,-0.22
<module 'time' (built-in)>,1.035090765953064,0,0,0.76,-0.23,0.22,0.26709963834436967,0.02370622261514784,0.2750907659530639,0.23,-0.22
<module 'time' (built-in)>,1.0366786861419677,0,0,0.76,-0.23,0.22,0.268528766514383,0.02370622261514784,0.27667868614196767,0.23,-0.22
<module 'time' (built-in)>,1.038278431892395,0,0,0.76,-0.23,0.22,0.26996853768976764,0.02370622261514784,0.278278431892395,0.23,-0.22
<module 'time' (built-in)>,1.0398850154876709,0,0,0.76,-0.23,0.22,0.2714144629255159,0.02370622261514784,0.27988501548767086,0.23,-0.22
