x_r,y_r,theta_r,x,y,theta,v,omega,x_e,y_e,theta_e
0.0,0.0,0,0.21,0.01,0.02,-0.17486069270911414,-0.001979842419911198,-0.21,-0.01,-0.02
0.0,0.0,0,0.21,0.01,0.02,-0.17486069270911414,-0.001979842419911198,-0.21,-0.01,-0.02
0.0,0.0,0,0.21,0.01,0.02,-0.17486069270911414,-0.001979842419911198,-0.21,-0.01,-0.02
0.0,0.0,0,0.21,0.01,0.02,-0.17486069270911414,-0.001979842419911198,-0.21,-0.01,-0.02
0.0,0.0,0,0.21,0.01,0.02,-0.17486069270911414,-0.001979842419911198,-0.21,-0.01,-0.02
0.0,0.0,0,0.21,0.01,0.02,-0.17486069270911414,-0.001979842419911198,-0.21,-0.01,-0.02
0.0,0.0,0,0.21,0.01,0.02,-0.17486069270911414,-0.001979842419911198,-0.21,-0.01,-0.02
0.0,0.0,0,0.21,0.01,0.02,-0.17486069270911414,-0.001979842419911198,-0.21,-0.01,-0.02
0.0,0.0,0,0.21,0.01,0.02,-0.17486069270911414,-0.001979842419911198,-0.21,-0.01,-0.02
0.0,0.0,0,0.21,0.01,0.02,-0.17486069270911414,-0.001979842419911198,-0.21,-0.01,-0.02
0.0,0.0,0,0.21,0.01,0.02,-0.17486069270911414,-0.001979842419911198,-0.21,-0.01,-0.02
0.0,0.0,0,0.21,0.01,0.02,-0.17486069270911414,-0.001979842419911198,-0.21,-0.01,-0.02
0.0,0.0,0,0.21,0.01,0.02,-0.17486069270911414,-0.001979842419911198,-0.21,-0.01,-0.02
0.0,0.0,0,0.21,0.01,0.02,-0.17486069270911414,-0.001979842419911198,-0.21,-0.01,-0.02
0.0,0.0,0,0.21,0.01,0.02,-0.17486069270911414,-0.001979842419911198,-0.21,-0.01,-0.02
0.0,0.0,0,0.21,0.01,0.02,-0.17486069270911414,-0.001979842419911198,-0.21,-0.01,-0.02
0.0,0.0,0,0.21,0.01,0.02,-0.17486069270911414,-0.001979842419911198,-0.21,-0.01,-0.02
0.0,0.0,0,0.21,0.01,0.02,-0.17486069270911414,-0.001979842419911198,-0.21,-0.01,-0.02
0.0,0.0,0,0.21,0.01,0.02,-0.17486069270911414,-0.001979842419911198,-0.21,-0.01,-0.02
0.0,0.0,0,0.21,0.01,0.02,-0.17486069270911414,-0.001979842419911198,-0.21,-0.01,-0.02
0.0,0.0,0,0.21,0.01,0.02,-0.17486069270911414,-0.001979842419911198,-0.21,-0.01,-0.02
0.0,0.0,0,0.21,0.01,0.02,-0.17486069270911414,-0.001979842419911198,-0.21,-0.01,-0.02
0.0,0.0,0,0.21,0.01,0.02,-0.17486069270911414,-0.001979842419911198,-0.21,-0.01,-0.02
0.0,0.0,0,0.21,0.01,0.02,-0.17486069270911414,-0.001979842419911198,-0.21,-0.01,-0.02
0.0,0.0,0,0.21,0.01,0.02,-0.17486069270911414,-0.001979842419911198,-0.21,-0.01,-0.02
0.0,0.0,0,0.21,0.01,0.01,-0.1748585714771577,-0.0015556278475779481,-0.21,-0.01,-0.01
0.0,0.0,0,0.21,0.01,0.01,-0.1748585714771577,-0.0015556278475779481,-0.21,-0.01,-0.01
0.0,0.0,0,0.21,0.01,0.01,-0.1748585714771577,-0.0015556278475779481,-0.21,-0.01,-0.01
0.0,0.0,0,0.2,0.01,0.01,-0.1658585714771577,-0.0015556278475779481,-0.2,-0.01,-0.01
0.0,0.0,0,0.2,0.01,0.01,-0.1658585714771577,-0.0015556278475779481,-0.2,-0.01,-0.01
0.0,0.0,0,0.19,0.01,0.01,-0.1568585714771577,-0.0015556278475779481,-0.19,-0.01,-0.01
0.0,0.0,0,0.18,0.01,0.01,-0.1478585714771577,-0.0015556278475779481,-0.18,-0.01,-0.01
0.0,0.0,0,0.18,0.01,0.01,-0.1478585714771577,-0.0015556278475779481,-0.18,-0.01,-0.01
0.0,0.0,0,0.17,0.01,0.02,-0.13886069270911416,-0.001979842419911198,-0.17,-0.01,-0.02
0.0,0.0,0,0.17,0.01,0.02,-0.13886069270911416,-0.001979842419911198,-0.17,-0.01,-0.02
0.0,0.0,0,0.16,0.01,0.02,-0.12986069270911416,-0.001979842419911198,-0.16,-0.01,-0.02
0.0,0.0,0,0.15,0.01,0.02,-0.12086069270911416,-0.001979842419911198,-0.15,-0.01,-0.02
0.0,0.0,0,0.14,0.01,0.03,-0.111864227860017,-0.002403972145794505,-0.14,-0.01,-0.03
0.0,0.0,0,0.14,0.01,0.04,-0.11186917657635405,-0.002827974612608719,-0.14,-0.01,-0.04
0.0,0.0,0,0.13,0.01,0.04,-0.10286917657635403,-0.002827974612608719,-0.13,-0.01,-0.04
0.0,0.0,0,0.12,0.01,0.04,-0.09386917657635402,-0.002827974612608719,-0.12,-0.01,-0.04
0.0,0.0,0,0.11,0.01,0.03,-0.08486422786001697,-0.002403972145794505,-0.11,-0.01,-0.03
0.0,0.0,0,0.11,0.01,0.02,-0.08486069270911416,-0.001979842419911198,-0.11,-0.01,-0.02
0.0,0.0,0,0.1,0.01,0.01,-0.07585857147715772,-0.0015556278475779481,-0.1,-0.01,-0.01
0.0,0.0,0,0.09,0.01,0.0,-0.06685786437626905,-0.001131370849898476,-0.09,-0.01,0.0
0.0,0.0,0,0.08,0.01,0.0,-0.05785786437626906,-0.001131370849898476,-0.08,-0.01,0.0
0.0,0.0,0,0.08,0.01,-0.01,-0.05785857147715771,-0.0007071138522190042,-0.08,-0.01,0.01
0.0,0.0,0,0.07,0.01,-0.03,-0.048864227860016984,0.00014123044599755229,-0.07,-0.01,0.03
0.0,0.0,0,0.06,0.01,-0.04,-0.03986917657635402,0.0005652329128117666,-0.06,-0.01,0.04
0.0,0.0,0,0.06,0.01,-0.04,-0.03986917657635402,0.0005652329128117666,-0.06,-0.01,0.04
0.0,0.0,0,0.05,0.01,-0.04,-0.030869176576354025,0.0005652329128117666,-0.05,-0.01,0.04
0.0,0.0,0,0.04,0.01,-0.04,-0.021869176576354024,0.0005652329128117666,-0.04,-0.01,0.04
0.0,0.0,0,0.03,0.01,-0.04,-0.012869176576354018,0.0005652329128117666,-0.03,-0.01,0.04
0.0,0.0,0,0.02,0.01,-0.04,-0.0038691765763540203,0.0005652329128117666,-0.02,-0.01,0.04
0.0,0.0,0,0.02,0.01,-0.04,-0.0038691765763540203,0.0005652329128117666,-0.02,-0.01,0.04
0.0,0.0,0,0.01,0.01,-0.04,0.005130823423645981,0.0005652329128117666,-0.01,-0.01,0.04
0.0,0.0,0,0.0,0.01,-0.04,0.014130823423645982,0.0005652329128117666,0.0,-0.01,0.04
0.0,0.0,0,0.0,0.01,-0.04,0.014130823423645982,0.0005652329128117666,0.0,-0.01,0.04
0.0,0.0,0,0.0,0.01,-0.04,0.014130823423645982,0.0005652329128117666,0.0,-0.01,0.04
0.0,0.0,0,-0.01,0.01,-0.04,0.02313082342364598,0.0005652329128117666,0.01,-0.01,0.04
0.0,0.0,0,-0.02,0.01,-0.04,0.03213082342364598,0.0005652329128117666,0.02,-0.01,0.04
0.0,0.0,0,-0.03,0.01,-0.04,0.04113082342364598,0.0005652329128117666,0.03,-0.01,0.04
0.0,0.0,0,-0.03,0.02,-0.04,0.04113082342364598,-0.0005661379370867094,0.03,-0.02,0.04
0.0,0.0,0,-0.04,0.02,-0.04,0.050130823423645984,-0.0005661379370867094,0.04,-0.02,0.04
0.0,0.0,0,-0.04,0.02,-0.04,0.050130823423645984,-0.0005661379370867094,0.04,-0.02,0.04
