x_r,y_r,theta_r,x,y,theta,v,omega,x_e,y_e,theta_e
1.0,0,0,0.82,-0.33,0.26,0.18132779956269032,0.0373751668864707,0.18000000000000005,0.33,-0.26
1.0014811563491821,0,0,0.82,-0.33,0.26,0.1826608402769542,0.0373751668864707,0.18148115634918216,0.33,-0.26
1.0030937528610229,0,0,0.82,-0.33,0.26,0.18411217713761088,0.0373751668864707,0.18309375286102292,0.33,-0.26
1.004681625366211,0,0,0.82,-0.33,0.26,0.1855412623922802,0.0373751668864707,0.18468162536621102,0.33,-0.26
1.0062831449508667,0,0,0.82,-0.33,0.26,0.18698263001847032,0.0373751668864707,0.18628314495086673,0.33,-0.26
1.007880916595459,0,0,0.82,-0.33,0.26,0.1884206244986034,0.0373751668864707,0.18788091659545902,0.33,-0.26
1.0094888257980346,0,0,0.82,-0.33,0.26,0.18986774278092142,0.0373751668864707,0.1894888257980346,0.33,-0.26
1.0110803937911987,0,0,0.82,-0.33,0.26,0.19130015397476918,0.0373751668864707,0.1910803937911988,0.33,-0.26
1.0126813554763794,0,0,0.82,-0.33,0.26,0.19274101949143177,0.0373751668864707,0.19268135547637943,0.33,-0.26
1.0142801427841186,0,0,0.82,-0.33,0.26,0.19417992806839704,0.0373751668864707,0.19428014278411865,0.33,-0.26
1.0158800649642945,0,0,0.82,-0.33,0.26,0.19561985803055537,0.0373751668864707,0.19588006496429455,0.33,-0.26
1.017481002807617,0,0,0.82,-0.33,0.26,0.1970607020895457,0.0373751668864707,0.19748100280761716,0.33,-0.26
1.0190798473358154,0,0,0.82,-0.33,0.26,0.19849966216492412,0.0373751668864707,0.1990798473358154,0.33,-0.26
1.0206797075271608,0,0,0.82,-0.33,0.26,0.199939536337135,0.0373751668864707,0.2006797075271608,0.33,-0.26
1.022278618812561,0,0,0.82,-0.33,0.26,0.2013785564939952,0.0373751668864707,0.20227861881256104,0.33,-0.26
1.0238795852661133,0,0,0.82,-0.33,0.26,0.20281942630219232,0.0373751668864707,0.20387958526611338,0.33,-0.26
1.0254804992675781,0,0,0.82,-0.33,0.26,0.2042602489035106,0.0373751668864707,0.20548049926757816,0.33,-0.26
1.027079339027405,0,0,0.82,-0.33,0.26,0.20569920468735473,0.0373751668864707,0.20707933902740494,0.33,-0.26
1.0286801433563233,0,0,0.82,-0.33,0.26,0.2071399285833813,0.0373751668864707,0.20868014335632334,0.33,-0.26
