time,x_r,y_r,theta_r,x,y,theta,v,omega,x_e,y_e,theta_e
0,0.0,0,0,0.41,0.2,-0.59,-0.2859059320899836,0.006908306873835124,-0.41,-0.2,0.59
0.14638590812683105,0.014638590812683105,0,0,0.41,0.2,-0.59,-0.2727312003585688,0.006908306873835124,-0.3953614091873169,-0.2,0.59
0.2926061153411865,0.02926061153411865,0,0,0.41,0.2,-0.59,-0.25957138170927685,0.006908306873835124,-0.38073938846588135,-0.2,0.59
0.4389231204986572,0.043892312049865725,0,0,0.41,0.2,-0.59,-0.2464028512451045,0.006908306873835124,-0.36610768795013426,-0.2,0.59
