time,x_r,y_r,theta_r,x,y,theta,v,omega,x_e,y_e,theta_e
0,-2.251371709547291e-16,1.4,3.1415212250184865,-0.34,1.46,0.46,0.26659094759624685,0.006220156244768599,0.3399999999999998,-0.06000000000000005,2.6815212250184866
0.06498932838439941,0.0028583779667206,1.3999970820238872,3.1394795252116374,-0.34,1.46,0.46,0.2692034415645912,0.006460391617787206,0.34285837796672064,-0.06000291797611279,2.6794795252116375
0.12901592254638672,0.005674401105949709,1.399988500371374,3.1374680708812024,-0.34,1.46,0.46,0.27177738480145547,0.006694820356855785,0.3456744011059497,-0.060011499628626064,2.6774680708812024
0.19301295280456543,0.008489101022347371,1.39997426232193,3.1354575456167844,-0.34,1.46,0.46,0.27435027789803723,0.006926910363767781,0.34848910102234737,-0.06002573767806996,2.6754575456167844
0.25713300704956055,0.011309177325072965,1.3999543215791828,3.133443155730807,-0.34,1.46,0.46,0.2769282452588709,0.007157209179598278,0.351309177325073,-0.060045678420817206,2.673443155730807
0.3209686279296875,0.014116698341545119,1.3999288263436587,3.1314377018658712,-0.34,1.46,0.46,0.27949489407714323,0.007384260859377309,0.35411669834154513,-0.06007117365634129,2.6714377018658713
0.38504648208618164,0.01693481577974198,1.3998975719725018,3.129424638311992,-0.34,1.46,0.46,0.28207138959468747,0.007609939947677939,0.356934815779742,-0.06010242802749821,2.669424638311992
0.4489619731903076,0.019745724201333154,1.3998607453513956,3.1274166758281092,-0.34,1.46,0.46,0.2846414532874447,0.007832816390548107,0.35974572420133316,-0.06013925464860437,2.6674166758281093
0.5129520893096924,0.022559834763247296,1.399818221718611,3.125406369220904,-0.34,1.46,0.46,0.28721460393417914,0.008053720269024053,0.3625598347632473,-0.06018177828138893,2.665406369220904
0.5769960880279541,0.025376223644367972,1.3997699979902236,3.1233943701327593,-0.34,1.46,0.46,0.28978999729619637,0.00827257235422161,0.365376223644368,-0.06023000200977635,2.6633943701327594
0.6409094333648682,0.028186764527940254,1.39971622349155,3.121386475924825,-0.34,1.46,0.46,0.29236020213068703,0.008488745186395627,0.3681867645279403,-0.06028377650845007,2.661386475924825
0.7049365043640137,0.031002192461884313,1.3996566950729583,3.119375009213425,-0.34,1.46,0.46,0.2949350354427615,0.008703065336308574,0.3710021924618843,-0.06034330492704165,2.659375009213425
0.7689588069915771,0.03381728529792938,1.3995915086964048,3.1173636925935044,-0.34,1.46,0.46,0.2975097217537294,0.008915129585579606,0.3738172852979294,-0.06040849130359516,2.6573636925935045
0.8329417705535889,0.03663051169920956,1.3995207056748584,3.115353612133333,-0.34,1.46,0.46,0.30008286033675946,0.009124824881420572,0.3766305116992096,-0.06047929432514154,2.655353612133333
0.8969221115112305,0.0394434747948518,1.399444251228361,3.1133436143530426,-0.34,1.46,0.46,0.3026559173491258,0.009332272911674357,0.37944347479485185,-0.06055574877163905,2.6533436143530427
0.9609975814819336,0.042260460620750125,1.3993620165876026,3.1113306283015882,-0.34,1.46,0.46,0.30523281363383153,0.009537784925531853,0.38226046062075014,-0.060637983412397345,2.6513306283015883
1.0249168872833252,0.04507041030363341,1.3992743326864328,3.1093225485701996,-0.34,1.46,0.46,0.30780343262886656,0.009740557316157056,0.3850704103036334,-0.06072566731356721,2.6493225485701997
1.0890231132507324,0.04788839461266292,1.3991807251607713,3.1073085968708605,-0.34,1.46,0.46,0.31038156160185876,0.009941676016957716,0.38788839461266295,-0.060819274839228665,2.6473085968708605
1.1529860496520996,0.05069988661560606,1.3990816707744993,3.105299147023877,-0.34,1.46,0.46,0.31295391025674435,0.010140101965506368,0.39069988661560606,-0.06091832922550067,2.645299147023877
1.2169828414916992,0.053512661848903985,1.3989769101103293,3.103288633868072,-0.34,1.46,0.46,0.3155275923397512,0.010336389654634418,0.393512661848904,-0.061023089889670645,2.643288633868072
1.2809040546417236,0.056321899341037325,1.3988666282582547,3.1012804953685045,-0.34,1.46,0.46,0.3180981965185125,0.010530204835242502,0.39632189934103734,-0.06113337174174527,2.6412804953685045
1.3449876308441162,0.05913804443400259,1.3987504036462408,3.0992672563864363,-0.34,1.46,0.46,0.3206752811698721,0.010722263617660897,0.39913804443400264,-0.06124959635375915,2.6392672563864363
1.408909559249878,0.0619468471540178,1.3986288242874434,3.097259095992844,-0.34,1.46,0.46,0.32324580599222474,0.010911594128128359,0.40194684715401785,-0.06137117571255657,2.637259095992844
1.472956657409668,0.06476089941965413,1.398501349983745,3.095247003576233,-0.34,1.46,0.46,0.325821294563147,0.011099047046577888,0.40476089941965415,-0.061498650016254874,2.635247003576233
1.5368750095367432,0.06756903355137665,1.3983684870966353,3.093238956110431,-0.34,1.46,0.46,0.32839152593929216,0.01128387864553912,0.4075690335513767,-0.06163151290336466,2.6332389561104312
